intercept,feature,coefficient,odds ratio
-1.7024492427912368,num__V1,0.43363995843070235,1.5428632731897634
-1.7024492427912368,num__V22,0.38594575344462073,1.4710048717031132
-1.7024492427912368,num__V7,0.37992813527784786,1.4621795065344194
-1.7024492427912368,num__V21,0.26515888796306203,1.3036380917247818
-1.7024492427912368,num__V5,0.21230414295006486,1.2365239079224377
-1.7024492427912368,num__V4,0.1963296332189429,1.216927979114041
-1.7024492427912368,num__V28,0.09189941098507781,1.0962545453697743
-1.7024492427912368,num__V23,0.08287609997659405,1.0864071943322517
-1.7024492427912368,num__V20,0.08123774050672516,1.0846287261002356
-1.7024492427912368,num__V26,0.0659408697930383,1.0681635545665524
-1.7024492427912368,num__V19,0.061445758361973385,1.063372815881101
-1.7024492427912368,num__Time,-8.453762688747503e-05,0.999915465946317
-1.7024492427912368,num__Amount,-0.009236943318139628,0.9908055861944917
-1.7024492427912368,num__V12,-0.009856089725422654,0.9901923223451288
-1.7024492427912368,num__V24,-0.026795722858606572,0.9735600972864503
-1.7024492427912368,num__V18,-0.0363598551808415,0.9642932251267831
-1.7024492427912368,num__V27,-0.0855348619706117,0.9180211384703404
-1.7024492427912368,num__V6,-0.12617050487752485,0.881464539966328
-1.7024492427912368,num__V11,-0.22059513259469188,0.8020413349589486
-1.7024492427912368,num__V25,-0.34891359657480725,0.7054540812856674
-1.7024492427912368,num__V10,-0.37179302821741994,0.6894969341666892
-1.7024492427912368,num__V13,-0.4158472053968636,0.6597810737704175
-1.7024492427912368,num__V16,-0.4242233961401538,0.654277702468185
-1.7024492427912368,num__V15,-0.42991290126134873,0.6505657557124627
-1.7024492427912368,num__V8,-0.4918864344910823,0.6114718039960535
-1.7024492427912368,num__V9,-0.5708384235485346,0.5650514875680945
-1.7024492427912368,num__V17,-0.7137817881986422,0.4897884145378266
-1.7024492427912368,num__V3,-0.7888437261900569,0.454369867638126
-1.7024492427912368,num__V2,-0.79890312250068,0.44982209334949214
-1.7024492427912368,num__V14,-1.0681932914927548,0.3436287939859347
